Company Name,Grade,Page
(SAMOA) FLOURISH THRIVE DEVELOPMENTS LIMITED TAIWAN BRANCH,C,1
(Sichuan) Tianqi Lithium Corporation,B,1
1&1 AG,C,1
1000mercis SA (holding of Numberly),B,1
"11 11 Systems, Inc.",C,1
3i Group,D,1
3M Company,D,1
"77BANK, LTD., THE",C,1
A Raymond Et Compagnie,B,1
A&A Material Corporation,D,1
"A&D HOLON Holdings Company, Limited",D,1
"A&H International Cosmetics Co., Ltd.",B,1
A. GRINGS SA,B,1
"A.D.Works Group Co.,Ltd.",B,1
A.E. RODDA & SON LIMITED,B,1
A.G. Barr Plc,B,2
A.P. Moller - Maersk,A,2
"A10 Networks, Inc.",D,2
A2A,A-,2
AAC Technologies Holdings,C,2
AAK AB,C,2
Aalberts N.V.,C,2
Aareal Bank AG,C,2
Aarti Industries Ltd,A,2
AARTI PHARMALAB,B-,2
Aasted ApS,B,2
AB Ignitis grupė,C,2
ABA Chemicals Corporation,B,2
ABB,A,2
Abbott Laboratories,B,2
AbbVie Inc,B,3
ABDI IBRAHIM ILAC SANAYI VE TICARET ANONIM SIRKETI,A,3
ABEAM CONSULTING LTD.,B,3
Abercrombie & Fitch Co.,B,3
Abertis Infraestructuras,A-,3
Ability Enterprise Co Ltd,D,3
ABM INDUSTRIES INC,C,3
ABM INVESTAMA TBK PT,C,3
ABN Amro Bank N.V,C,3
About You,A-,3
abrdn,C,3
Absa Group Limited,B,3
Abu Dhabi Commercial Bank,C,3
Abu Dhabi National Energy Company (TAQA),B,3
Acbel Polytech Inc,A,3
A.G. Barr Plc,B,4
A.P. Moller - Maersk,A,4
"A10 Networks, Inc.",D,4
A2A,A-,4
AAC Technologies Holdings,C,4
AAK AB,C,4
Aalberts N.V.,C,4
Aareal Bank AG,C,4
Aarti Industries Ltd,A,4
AARTI PHARMALAB,B-,4
Aasted ApS,B,4
AB Ignitis grupė,C,4
ABA Chemicals Corporation,B,4
ABB,A,4
Abbott Laboratories,B,4
Ackermans & van Haaren,B,5
Aço Verde do Brasil,B,5
ACOLAD,C,5
Actia Group,D,5
Activia Properties Inc,B,5
ACTUA FORMATION,D,5
Acuity Brands Inc,A,5
AD PLASTIK,C,5
ADANI ENERGY SOLUTIONS LIMITED,B,5
Adani Enterprises,A-,5
Adani Gas Ltd,B,5
Adani Green Energy Limited,D,5
Adani Ports & Special Economic Zone,A-,5
Adani Power Ltd,B,5
Adani Wilmar Limited,C,5
ACC,B,6
"Accelink Technologies Co., Ltd",C,6
Accenture,A,6
ACCIONA S.A.,A,6
Acco Brands,C,6
Accolade Inc,D-,6
Accor,C,6
Accton Technology Corp,B,6
ACEA SpA,B,6
ACEN Corporation,A-,6
ACERINOX,B,6
Aces,D,6
Achmea,C,6
ACI WORLDWIDE  LTD,D,6
Acinque SpA,B,6
Admiral Group,C,7
Adobe,B,7
ADP (Aeroports de Paris),A,7
ADT Security Services,C,7
ADTEC PLASMA TECHNOLOGY,D-,7
ADTRAN INC,B,7
Adval Tech Holding AG,B,7
Advance Auto Parts Inc,B,7
Advance Residence Investment Corporation,A,7
ADVANCED DRAINAGE SYSTEMS INC,C,7
Advanced Energy,C,7
Advanced Info Service Plc,B,7
Advanced International Multitech,B,7
"Advanced Micro Devices, Inc",B,7
Advanced Micro-Fabrication,C,7
Advanced Process Systems Corporation,D,8
"Advanced Technology & Materials Co., Ltd.",B,8
AdvanSix Inc,B,8
"Advantech Co, Ltd.",B,8
Advantest Corporation,B,8
AECI Ltd Ord,B,8
AECOM,A-,8
Aecon Group Inc.,C,8
Aedifica SA,D,8
Aegon Ltd,D,8
AEM HOLDINGS LTD,D,8
AENA SME SA,A-,8
"Aeon Co., Ltd.",A,8
"Aeon Mall Co., Ltd.",B,8
AEON REIT Investment Corporation,C,8
AerCap Holdings NV,D-,9
Aeris Energy SA,C,9
AeroSpace Technology of Korea Inc.,D,9
AES Brasil Energia S.A.,B,9
Aesa Automolas Equipamentos LTDA,C,9
AF Gruppen ASA,B,9
Affiliated Managers Group,D,9
AFLAC Incorporated,C,9
AFRY AB,B,9
AGASUS S/A,B,9
AGC Inc.,B,9
AGCO Corp.,B,9
Ageas SA/NV,B,9
Aggreko,B,9
Agilent Technologies Inc.,C,9
AGILITI,C,10
AGIS CONSTRUCAO SA,D-,10
AGL Energy,C,10
Agnico-Eagle Mines Limited,C,10
AGRANA Beteiligungs-AG,B,10
Aguas Andinas SA,A-,10
Ahlstrom Oyj,A-,10
Ahold Delhaize,A-,10
AHRESTY CORPORATION,B,10
"Ahwit Precision (Shanghai) Co.,Ltd.",B,10
AIA Engineering Ltd.,C,10
AIA Group Ltd,C,10
AIB Group Plc,B,10
Aica Kogyo Co Ltd,B,10
AICELLO CORPORATION,C,10
AICHI FINANCIAL GROUP,B,11
Aichi Steel Corporation,B,11
"AIDA ENGINEERING, LTD.",D,11
Ain Holdings Inc,B,11
"AIPHONE CO.,LTD.",B,11
Air Canada,C,11
Air France - KLM,B,11
Air Liquide,B,11
"Air Products & Chemicals, Inc.",B,11
Air Water Inc.,A-,11
Airbnb,B,11
AIRBOSS OF AMERICA CORP,C,11
Airbus SE,B,11
AirFirst,C,11
"Airspace Technologies, Inc.",C,11
AIRTAC INTERNATIONAL GROUP TAIWAN BRANCH (CAYMAN),B,12
"AIRTECH JAPAN,LTD.",C,12
AirTrunk Pty Limited,C,12
"Aisan Industry Co., Ltd.",B,12
Aisin Corporation,A,12
AIXTRON SE,C,12
"Ajin Industrial Co., Ltd.",C,12
"Ajinomoto Co., Inc.",A,12
AK Medical Holdings Limited,D,12
Akamai Technologies Inc,B,12
AKBANK T.A.Ş.,A,12
AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,A-,12
"AKEBONO BRAKE INDUSTRY CO., LTD.",C,12
AKENERJİ ELEKTRİK ÜRETİM A.Ş.,B,12
Aker BP ASA,B,12
Aker Solutions ASA,B,13
AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,B,13
AKFEN HOLDING ANONIM SIRKETI,B,13
AKFEN INSAAT TURIZM VE TICARET ANONIM SIRKETI,B,13
AKFEN YENİLENEBİLİR ENERJİ A.Ş.,B,13
AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,B,13
AKKIM KIMYA SANAYI VE TICARET ANONIM SIRKETI,C,13
AKOYA BIOSCIENCES INC,B,13
AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,B,13
Aktia Bank Plc,C,13
Akwel,C,13
AkzoNobel,C,13
ALAMO GROUP,C,13
Alamos Gold Inc.,D,13
Albaad Massuot Yitzhak Ltd,D,13
Albany International Corporation,D,14
ALBARAKA TÜRK KATILIM BANKASI A.Ş.,C,14
Albea,B,14
Albemarle Corp.,B,14
Albioma,C,14
"ALBIS Co.,Ltd.",D,14
Alcantara,B-,14
Alcoa Corp.,C,14
ALCONIX CORPORATION,B,14
Aldar Properties,C,14
Alembic Pharmaceuticals Limited,C,14
ALEXANDER GROUP,B,14
Alexandria Real Estate Equities Inc.,B,14
Alfa Financial Software Holdings,B-,14
Alfa Laval Corporate AB,B,14
Alfa SAB de CV,D,15
Alfen NV,C,15
Alfresa Holdings Corporation,D,15
Algar Telecom,B,15
Algoma Steel,D-,15
Algonquin Power & Utilities Corporation,C,15
Aliaxis SA,C,15
Alibaba Group Holding Limited,B,15
Alimentation Couche-Tard Inc.,D,15
ALINCO INCORPORATED,C,15
Alithya Group Inc.,D-,15
Alk-Abello A/S,D,15
Allegion Plc,C,15
"Allegis Group, Inc",D,15
"ALLEGRO MICROSYSTEMS, INC.",C,15
ALLFUNDS GROUP PLC,C,16
Allgeier Se,C,16
Alliance Pharma Inc,B,16
Allied Circuit Co. Ltd.,B,16
Allied Universal,D,16
"Allis Electric Co., Ltd",B-,16
ALLMED MEDICAL PRODUCTS,D,16
ALLOS S A,B,16
Allreal Holding AG,B,16
Allseating Corporation,C,16
"Alltech, Inc.",D,16
"Alltop Technology Co., Ltd.",D,16
Almirall S.A.,A-,16
Alpargatas SA,D,16
Alpek SAB de CV,B,16
"Alpen Co.,Ltd.",D,17
Alperia SpA,B,17
Alpha and Omega Semiconductor Incorporated,D,17
Alpha Bank,C,17
Alpha Networks Inc.,C,17
ALPHA SYSTEMS INC.,B,17
"Alphabet, Inc.",B,17
ALPLA,B,17
ALPLA HITECH,C,17
ALPPLAS ENDUSTRIYEL YATIRIMLAR ANONIM SIRKETI,C,17
ALPS ALPINE CO LTD.,A,17
"ALPS LOGISTICS CO.,LTD.",B,17
ALRO,B,17
Alsea of Mexico,D,17
ALSO Holding AG,C,17
Alstom,A,18
alstria office REIT-AG,B,18
ALTANA AG,B,18
Alten,A-,18
ALTEO NYRT,C,18
ALTIUS MINERALS,B,18
Altman Solon,B,18
Altri SGPS SA,B,18
"Altria Group, Inc.",B,18
ALTRO LIMITED,C,18
Altron Plc,C,18
ALTUS POWER A,C,18
Aluminium Bahrain BSC,C,18
Alupar Investimento SA,C,18
Amada Co Ltd,B,18
Amadeus FiRe AG,C,19
"Amadeus IT Group, S.A.",B,19
AMAG AUSTRIA METALL AG,B,19
Amaggi,B,19
Amara Raja Energy & Mobility Limited,B,19
"Ambarella, Inc.",D,19
Ambev S.A,B,19
Ambipar Participacoes e Empreendimentos,A,19
Ambuja Cements,B,19
Amcor plc,B,19
Amdocs Ltd,B,19
Amer Sports,A-,19
America Movil,B,19
American Eagle Outfitters Inc.,C,19
American Express,B,19
American Family Insurance,C,20
"American International Group, Inc. (AIG)",C,20
AMERICAN PUBLIC EDU,C,20
AMERICAN STATES WATER CO,B,20
American Superconductor Corporation,D-,20
American Tower Corp.,D,20
American Water Works,B,20
American Woodmark Corporation,C,20
Americanas S.A.,B,20
Americold Logistics Inc,C,20
"Ameriprise Financial, Inc.",C,20
AMG Critical Materials NV,C,20
"Amgen, Inc.",A-,20
"Amicus Therapeutics, Inc.",C,20
AMKOR TECHNOLOGY INC,B,20
AMLOGIC CO LIMITED,C,21
AMN HEALTHCARE SERVICES,B,21
AmorePacific Corporation,A,21
AMPACS Corporation,C,21
Amphenol Corporation,B,21
Amplifon SpA,B,21
ams-OSRAM AG,B,21
An Post,B,21
ANA Holdings Inc.,A,21
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,C,21
ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,B,21
ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,A,21
ANAPLAN INC,C,21
Anchor Glass Container,C,21
ANDLAUER HEALTHCARE GROUP INC,C,21
ANDRITZ AG,C,22
ANEST IWATA Corporation,D,22
Angel Yeast Co Ltd,B,22
Anglian Water,B,22
Anglo American,A-,22
Anglo American Platinum,B,22
Anhui Conch Cement,C,22
"Anhui Heli Co.,Ltd.",C,22
"ANHUI TATFOOK TECHNOLOGY CO., LTD.",B,22
ANHUI YINGLIU ELECTROMECHANICAL CO LTD,D,22
"Anhui Zhongding Sealing Parts Co., Ltd.",C,22
ANIKA THERAPEUTICS,B,22
Anima Holding,B,22
Annington Ltd,C,22
ANORA,B,22
Anritsu Corporation,A,23
Ansell,D,23
Ansys Inc.,C,23
Antofagasta,B,23
Anupam Rasayan India Ltd.,B-,23
"Aoi Electronics Co., Ltd.",C,23
AOKI Holdings Inc.,B-,23
Aon plc,D,23
Aoshikang Technology,B,23
"Aoyama Trading Co., Ltd.",A-,23
"Aozora Bank, Ltd.",A,23
APACER,D,23
Apar industries Limited,B,23
APERAM,B,23
APETIT,C,23
APG SGA SA,B,24
Apical Group Ltd,C,24
APICE ARTES GRAFICAS LTDA,D,24
Apollo Hospitals Enterprises,D,24
APOLLO TYRES LTD,B,24
APP Indonesia,B,24
APPINIO GmbH,D,24
Applied Materials Inc.,B,24
"Applied Optoelectronics, Inc.",B,24
APPLUS Services,A-,24
AptarGroup,A,24
Aptitude Software Group PLC,B,24
Aptiv,A,24
AQIA QUIMICA INOVATIVA LTDA,C,24
ARABIAN DRILLING COMPANY,C,24
ARABIAN PACKAGES PVT. LIMITED,B,25
"ARAKAWA CHEMICAL INDUSTRIES,LTD.",B,25
Aramark Corporation,B,25
Aramex,D,25
ARATA CORPORATION,B,25
"Arca Continental, SAB de CV",B,25
Arcadis,B,25
Arcadyan Technology Corporation,B,25
ArcBest Corporation,C,25
ARÇELİK A.Ş.,A,25
ArcelorMittal,B,25
Archer Daniels Midland,B,25
Archer Ltd,B,25
"ArcherMind Technology (Nanjing) Co., Ltd.",D,25
Arconic Corp,D,25
Arcor,D,26
"ARCS COMPANY, LIMITED",B,26
Ardagh Glass Packaging Holding Sarl,B,26
Ardagh Metal Packaging Holdings SARL,B,26
Ardentec,B,26
"ARE Holdings, Inc.",A-,26
Arendals Fossekompani ASA,B,26
Arezzo & Co,B,26
Argosy Property,C,26
Argosy Research Inc.,B,26
Arista Networks,B,26
Aritzia Inc.,B,26
Arkea,B,26
ARKEM KIMYA SANAYI VE TICARET ANONIM SIRKETI,C,26
ARKEMA,A,26
Arla Foods amba,C,27
Arlo Technologies Inc.,D,27
Arm Holdings Plc,B,27
"Armada Supply Chain Solutions, LLC",C,27
Armstrong Fluid Technology,C,27
Armstrong World Industries Inc.,D,27
Aroundtown SA,B,27
"Arrow Electronics, Inc.",C,27
Arteche Group,B,27
"artience Co., Ltd.",C,27
Artnature Inc,C,27
"ARTNER CO.,LTD.",C,27
Arvida Group Limited,B,27
ARVIND Ltd,B,27
Aryzta AG,C,27
AS ONE Corporation,C,28
"Asahi Diamond Industrial Co., Ltd.",B,28
"Asahi Group Holdings, Ltd.",A,28
Asahi Intecc Co Ltd,B,28
"ASAHI INTELLIGENCE SERVICE CO., LTD.",D-,28
Asahi Kasei Corporation,C,28
"ASAHI KOGYOSHA CO.,LTD.",B,28
"Asahi Net,Inc.",C,28
"Asahi Printing Co., Ltd.",D,28
"Asahi-Seiki Manufacturing Co.,Ltd.",D-,28
ASANUMA CORPORATION,C,28
ASANUMA CORPORATION - 1852 JP,B,28
Ascentech K.K.,B,28
Ascential,C,28
Ascom Holding AG,D,28
"ASE Technology Holding Co., Ltd.",A,29
ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,B,29
ASGN Inc.,D,29
Ashapura Minechem Ltd.,D,29
"Ashimori Industry Co., Ltd.",C,29
Ashland Global Holdings Inc,B,29
Ashtead Group,B,29
Asia Cement Corporation,A-,29
Asia Pacific Resources International Holdings Limited,N/A,29
ASIA PILE HOLDINGS CORPORATION,B-,29
"Asia Vital Components Co., Ltd.",B,29
Asian Paints,B,29
Asian Sourcing Link Limited,B,29
ASIAN STAR ANCHOR CHAIN CO LTD JIANGSU,D-,29
Asics Corporation,A,29
ASKA CORPORATION,C,30
"ASKA Pharmaceutical Holdings Co.,Ltd.",B,30
Askul Corporation,A,30
ASM International,A,30
ASMedia Technology Inc.,D-,30
ASML Holding,A-,30
ASMPT Limited,B-,30
ASOS,C,30
ASPEED Technology,C,30
ASPEN AEROGELS,D,30
Aspen Pharmacare Holdings Ltd.,B,30
Aspire Bakeries,B,30
ASR Nederland N.V.,B,30
Assa Abloy,B,30
ASSAN ALÜMİNYUM SANAYİ VE TİCARET A.Ş.,B,30
Assemblin Caverion Group AB,D,31
Assicurazioni Generali Spa,B,31
Associated British Foods,B,31
Assura Plc,C,31
"Assurant, Inc.",B,31
Assystem,B-,31
"ASTARTA-KYIV, TOV",C,31
ASTEC DO BRASIL FABRICACAO DE EQUIPAMENTOS LTDA,C,31
Astellas Pharma Inc.,A-,31
"Astena Holdings Co.,Ltd.",C,31
ASTM SpA,A-,31
Aston Martin Lagonda Global Holdings,C,31
Astra Industrial Group Co,C,31
AstraZeneca,A,31
ASUSTeK Computer Inc,A,31
Asymchem Laboratories Tianjin Co Ltd,B,32
AT&S Austria Technologie & Systemtechnik AG,C,32
ATA GROUP LIMITED,B,32
Atacadao SA,A,32
Atea ASA,A,32
Ateam Inc.,D,32
ATEME S.A.,C,32
Atemitech Corporation,B,32
ATEQ,B,32
ATHENS WATER SUPPLY & SEWERAGE COMPANY S.A.,D,32
ATI Inc.,D-,32
AtkinsRéalis,B,32
ATKORE,D,32
ATLANTE,B-,32
Atlantica Sustainable Infrastructure PLC,A-,32
Atlas Copco,B,33
"Atomix Co.,Ltd.",B,33
Atos SE,B,33
ATR (Avions de Transport RÃ©gional),B,33
ATRESMEDIA CORPORACION,B,33
ATRIA,B,33
Atrium Ljungberg AB,C,33
ATS Corporation,C,33
Attica Holdings S.A.,D,33
Atul Ltd.,C,33
Aubay,B-,33
Aubert & Duval,C,33
AUCNET INC.,B,33
Auction Technology Group,B,33
Audax Renovables SA,C,33
Auden Techno Corp.,B,34
Aumann Ag,C,34
AUO Corporation,A,34
AURAS TECHNOLOGY,B,34
Auren Energia S.A.,B,34
Aurobindo Pharma,C,34
Aurubis AG,B,34
Austevoll Seafood ASA,B,34
Australia Post,B,34
AUSTRALIAN VINTAGE LTD,D-,34
Auto Trader Group,C,34
"Autobacs Seven Co., Ltd.",C,34
Autocam do Brasil Usinagem Ltda,D-,34
"Autodesk, Inc.",B,34
"Autoliv, Inc.",B,34
"Automatic Data Processing, Inc.",C,35
Autoneum Holding AG,B,35
AUTONOM SERVICES S.A.,C,35
Autostrade per l'italia Spa,A,35
"AutoZone, Inc.",C,35
AvalonBay Communities,B,35
Avalue Technology Incorporation,B,35
Avangrid Inc,C,35
AVANOS MEDICAL UK LIMITED,D,35
AVANT GROUP CORPORATION,D,35
Avantor,C,35
Avery Dennison Corporation,A-,35
Aveva Group,B,35
Avianca Group,B,35
AVID BIOSERVICES,B,35
Avient,A-,36
Aviva plc,B,36
AVL List GmbH,B,36
Avnet Inc.,B,36
Avon Cosmetics Ltd,B,36
Avril,B,36
AXA Group,C,36
Axalta Coating Systems,C,36
Axcelis Technologies,C,36
Axel Springer SE,D,36
AXIAL RETAILING INC.,C-,36
Axian Energy Green Ltd,C,36
AXIAN TELECOM,B-,36
Axiata Group Berhad,D,36
Axis Bank,C,36
Axtel,B,37
AXWAY SOFTWARE SA,B,37
Aya Gold & Silver Inc.,D,37
Ayala Corporation,C,37
Ayala Land Inc,B,37
AYD OTOMOTIV ENDUSTRI SANAYI VE TICARET ANONIM SIRKETI,C,37
AYDEM ELEKTRİK PERAKENDE SATIŞ ANONİM ŞİRKETİ,B,37
AYDEM YENİLENEBİLİR ENERJİ A.Ş.,A,37
Ayvens,B,37
Azbil Corporation,B,37
AZ-COM MARUWA Holdings Inc.,B-,37
AZELIS GROUP NV,B,37
"AZENTA US, INC.",D,37
Azimut Holding,C,37
Azul Sa,B,37
"Azure Wave Technologies, Inc.",D,38
"B&G Foods, Inc.",D,38
B&M European Value Retail SA,B,38
"B3 S.A. - Brasil, Bolsa, Balcao",B,38
BA Glass,A,38
Babcock International Group,C,38
Bachem Holding AG,B,38
BADGER METER,C,38
BAE Systems,B,38
Baidu Inc,B,38
Baikowski,C,38
Bain & Company,A,38
bak ambalaj,C,38
Baker & McKenzie,B,38
Bakkavör Group,B,38
BALCHEM CORP,D,39
Balfour Beatty,C,39
Ball Corporation,C,39
Ballard Power Systems,B,39
Baloise Group,C,39
Balta Group Nv,D,39
Banca IFIS SpA,B,39
Banca Mediolanum,C,39
Banca Popolare di Sondrio,B,39
Banca Transilvania S.A.,D,39
Banco ABC Brasil SA,C,39
Banco BPM SpA,B,39
Banco Bradesco S/A,B,39
Banco Comercial Português SA,B,39
Banco Davivienda SA,C,39
Banco de Bogota SA,C,40
Banco de Galicia y Buenos Aires S.A.U,D,40
Banco do Brasil S/A,A,40
Banco do Estado do Rio Grande do Sul S/A,C,40
Banco do Nordeste do Brasil S.A.,C,40
BANCO GUAYAQUIL SA,D,40
BANCO INTER SA-PR,C,40
BANCO PAN SA,C,40
Banco Sabadell,B,40
Banco Santander Brasil SA,A-,40
"Banco Santander, S.A.",A,40
BanColombia SA,B,40
Bandai Namco Holdings Inc.,C,40
BANDO CHEMICAL INDUSTRIES.LTD.,B,40
Bangkok Aviation Fuel Services Public Company Limited,C,40
Bank Hapoalim,D,41
Bank of Cyprus Holdings Public Limited Company,D,41
Bank of East Asia Limited,B,41
Bank of Georgia Group PLC,C,41
Bank of Ireland,C,41
Bank of the Philippine Islands,C,41
"Bank of The Ryukyus, Limited",A-,41
Bank Pekao S.A.,D,41
Bankinter,A-,41
Banpu Public Co Ltd,C,41
Banque Cantonale Vaudoise,B,41
Baosteel,B,41
Barclays,A-,41
Barco NV,A-,41
Barilla Holding SpA,B,41
Barloworld,B,42
BARNES GROUP INC,B,42
BAROQUE JAPAN LIMITED,B-,42
Barratt Developments plc,A,42
Barrick Gold Corporation,B,42
Barry Callebaut AG,A,42
"BASE CO., LTD.",C,42
BASF SE,B,42
BASIC INTERIOR JOINT STOCK COMPANY,B,42
BASSO INDUSTRY CORP.,B,42
Bastide Le Confort Medical,D,42
Basware Oy,B,42
"Bath & Body Works, Inc.",C,42
Bausch + Lomb Corporation,C,42
Bausch Health Cos. Inc.,D,42
BAWAG Group AG,C,43
Baxter International Inc.,B,43
Bayer AG,A,43
BayWa AG,C,43
BBVA,B,43
"BBVA México, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA México",B,43
BCE Inc.,B,43
BE Semiconductor Industries N.V,C,43
Beazley Group,D,43
Bechtle AG,C,43
"Becle, S.A. De C.V.",D,43
"Becton, Dickinson and Co.",B,43
BEENOS Inc.,B,43
Beerenberg Services AS,C,43
Beiersdorf Aktiengesellschaft,A,43
"BeiGene, Ltd",C,44
Beijer Alma,B,44
Beijing Enterprises,B,44
BEIJING ENTERPRISES URBAN RESOURCES GROUP LIMITED,C,44
Beijing Enterprises Water Group Ltd,B,44
Beijing New Building Materials PLC,C,44
"Beijing Shunfuda Logistics Co., LTD",B,44
"Beijing Sino Supply Chain Management Co., Ltd.",B,44
Beijing WKW Automotive,D,44
Beijing Yanjing Brewery Co Ltd,C,44
Beijing Yuanlong Yato Culture Dissemination Co Ltd,B,44
"BEIJING ZHONG KE SAN HUAN HIGH-TECH CO., LTD.",B,44
"BEING HOLDINGS CO.,LTD.",B,44
Bekaert NV,C,44
Bel Fuse Inc.,D,44
BEL GROUP,B,45
Belc Co Ltd,B,45
Belfius Bank SA/NV,C,45
BELLRING BRANDS,C,45
"BELLSYSTEM24 HOLDINGS,INC.",B,45
Bellway Homes Limited,B,45
BENCHMARK ELECTRONICS INC,C,45
BENCHMARK HOLDINGS PLC,C,45
"BENDA SUNKWANG IND.CO.,LTD.",C,45
Bendigo and Adelaide Bank,B,45
"Benesse Holdings, Inc.",A,45
Beneteau,D-,45
BenQ Materials Corporation,B,45
Bensussen Deutsch & Associates Inc.,B-,45
Benteler International AG,B,45
BENTLEY SYSTEMS,B,46
Berkeley Group,B,46
Berli Jucker PCL,B,46
"Berry Global Group, Inc",A-,46
Bertelsmann SE & Co. KGaA,B,46
Bertrandt AG,C,46
"Best Buy Co., Inc.",A,46
"BESTERRA CO.,LTD",B-,46
BETHEL AUTOMOTIVE SAFETY SYSTEMS CO,D,46
BEWI,B-,46
"Bewith,Inc.",C,46
BEYCELIK GESTAMP OTOMOTIV SANAYI ANONIM SIRKETI,B,46
Beyond Gravity Schweiz AG,B,46
"Beyondsoft Consulting, Inc.",B,46
"Bezeq The Israel Telecommunication Corp., Limited",D,46
BFF Bank S.p.A.,C,47
BGF Retail Co Ltd,B,47
"BH Co., Ltd",C,47
"BH Technology Group Co., Ltd.",C,47
Bharat Forge Ltd.,B,47
Bharat Petroleum Corporation,C,47
Bharti Airtel Limited,B,47
BHP,B,47
Bic,B,47
Bic Camera Inc,B,47
Bid Corporation Ltd,D,47
Bidvest Group Ltd,D,47
BidX1 Technology Limited,B,47
Biffa Plc,B,47
Big Yellow Group,B,47
BigID Inc.,D,48
Bilfinger SE,C,48
Bill.com Holdings Inc,D,48
Billerud AB (publ),A,48
BİM BİRLEŞİK MAĞAZALAR A.Ş.,C,48
Bio Pappel S.A. de C.V.,C,48
Biocartis NV,D,48
Biocon,B,48
BIOCON BIOLOGICS LIMITED,C,48
BIOFARMA SRL,C,48
BioGaia AB,C,48
Biogen Inc.,B,48
BIOIBERICA SAU,C,48
bioMérieux,C,48
Bio-Rad Laboratories Inc.,C,48
BIORIGIN,D,49
Biotage AB,D,49
BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,C,49
BIPROGY Inc.,A-,49
Birla Carbon,C,49
BITE GROUP UAB,B,49
BizLink,C,49
BKW AG,B,49
Black Box Limited,D,49
BLACKBAUD INC.,C,49
BlackBerry Limited,C,49
Blackhawk Network Holdings,D,49
"Block, Inc.",B,49
Bloom Energy,C,49
Bloomsbury Publishing,B,49
Blue Moon Group,C,50
"Blue Pacific Flavors, Inc.",B,50
Blue Shield of California,C,50
Bluestar Adisseo Company A,D,50
BMC Software,B,50
"BML,INC.",B-,50
BMW AG,A,50
BNDES - Banco Nacional de Desenvolvimento  EconÃ´mico e Social,B,50
BNK Financial Group Inc.,B,50
BNP Paribas,A-,50
BOA VISTA SERVICOS S.A,D-,50
Boardwalk REIT,C,50
BOC Aviation Limited,C,50
Bodycote plc,A-,50
"BOE Technology Group Co.,Ltd.",B,50
Boehringer Ingelheim,D,51
"Boiln Plastics Co.,Ltd.",C,51
Bolloré SA,B,51
Bombardier Inc.,D,51
"BONDALTI CHEMICALS, S.A.",B,51
Bonduelle,D,51
Bonfiglioli Riduttori S.p.A.,D,51
Bonheur ASA,D,51
Booking Holdings,C,51
Boozt AB,B,51
Boralex Inc,B,51
BORÇELİK ÇELİK SANAYİİ TİCARET A.Ş.,A,51
BorgWarner Inc.,A-,51
Borouge,C,51
Borr Drilling Ltd,B,51
Bosideng International Holdings Ltd,B,52
Bossard Holding AG-Reg A,C,52
Boston Properties,B,52
Boston Scientific Corporation,B,52
Bouygues SA,B,52
Box,D,52
Boyd Group Services Inc.,D,52
BP,B,52
BPER Banca,C,52
BRACELL SP CELULOSE LTDA,B,52
Brambles,A,52
"Brand Graphic Co.,Ltd",B,52
BRANICKS Group AG,B,52
Braskem S/A,B,52
BRAVURA SOLUTIONS LTD,C,52
Bread Financial Holdings Inc,B,53
Breedon Group,A-,53
Breitling AG,A-,53
Brembo SpA,A-,53
Brenntag SE,A-,53
BRF S.A,B,53
Bridgestone Corporation,A-,53
Bright Horizons Family Solutions Inc,D,53
BRIGHTGENE BIO-MEDICAL TECHNOLOGY C,B,53
Brisa- Auto-Estradas de Portugal SA,B,53
BRİSA BRIDGESTONE SABANCI LASTİK SAN. VE TİC. A.Ş,A,53
Bristol-Myers Squibb,B,53
BRISTOW GROUP INC,D,53
Britannia Industries Limited,B,53
British American Tobacco PLC,A,53
British Broadcasting Corporation,B,54
British Land Company,B,54
BRITISH STANDARDS INSTITUTION,C,54
Britvic,B,54
Broadcom Inc,B-,54
Broadridge Financial Solutions Inc,D,54
Brookfield Renewable Partners L.P.,B,54
Brooks Automation,C,54
"Brother Industries, Ltd.",A-,54
Brown-Forman Corporation,C,54
BRP,B-,54
Brunello Cucinelli SpA,B,54
Brunswick Corporation,B,54
BT Group,A,54
BTS Group AB,D,54
BTS Group Holdings PCL,A-,55
Bucher Industries AG,D,55
Bufab,B,55
BUHLER HOLDING AG,B,55
"BULL-DOG SAUCE CO.,LTD.",C,55
BULTEN AB,B,55
Bumi Armada Berhad,B-,55
Bumitama Agri Ltd,D,55
Bunge,B,55
"BUNKA SHUTTER CO.,LTD.",B,55
Bunzl plc,B,55
BUPA,C,55
Burberry Group,A-,55
Bureau Veritas,A,55
Burlington Stores Inc,B-,55
Bursa Malaysia Berhad,D,56
Business Brain Showa-ota Inc.,C,56
Business Engineering Corporation,B,56
Business Environment Council Limited,C,56
Buzzi SpA,B,56
BW LPG,D,56
BWP TRUST,B,56
